59.60667191322183,16.55108377886354,3490111
59.6007851678209,16.5376576922508,3490112
59.59739618044845,16.5215005581829,3490113
59.59481664837936,16.504368531578,3490114
59.592695081656835,16.487126862240302,3490115
59.59049851362769,16.469924316498002,3490116
59.588315650830054,16.4527495993554,3490117
59.58595654427525,16.43568578191315,3490118
59.58169701827275,16.4202179020942,3490119
59.57675560011085,16.4054520200065,3490120
59.571820064316796,16.390653280957103,3490121
59.56778962752935,16.3748634333751,3490122
59.5654744944771,16.3579247358675,3490123
59.56481793578105,16.34031173890815,3490124
59.5660018084599,16.322772409254448,3490125
59.56730684408505,16.3052706198059,3490126
59.5678363648854,16.2876352316919,3490127
59.5677560581067,16.269989694190468,3490128
59.567653707046105,16.2522607734984,3490129
59.5648283466086,16.2353823548724,3490130
